source,system_time,msg_time,x,y,theta,v,omega,ax
odom,1775706384.1049173,1775118112.7402668,0.0,0.0,0.0,-3.4181830773841054e-20,-0.0008617382329812158,0.0
odom,1775706384.1103356,1775118112.7597113,-3.4057776233136603e-18,4.655436193861471e-19,-0.012642063510555523,1.3863951822577036e-18,-0.0009336408196681062,0.0
odom,1775706384.1286902,1775118112.7795253,-9.254042354826287e-18,-2.598273380525613e-18,-0.019692452721979056,-2.522707004207437e-18,-0.0009829977385763,0.0
odom,1775706384.149248,1775118112.7991092,-8.003764342870744e-18,-4.651582902742949e-18,-0.02531697807257948,3.163800465577266e-19,-0.0010313177566842974,0.0
odom,1775706384.1721234,1775118112.8185933,-3.799715485927536e-18,-1.756039014276627e-18,-0.030362941657349644,-4.996331278486027e-18,-0.0010826676500937703,0.0
odom,1775706384.2159784,1775118112.8384387,-2.932578025594886e-18,-7.707807071999039e-18,-0.03514669678511595,-4.5777434295654296e-18,-0.0011407529944941369,0.0
odom,1775706384.2191257,1775118112.8580253,-5.1186043244117505e-18,-5.9612345008222045e-18,-0.0397653872829662,-7.80058186335677e-18,-0.0011999227937014004,0.0
odom,1775706384.2285893,1775118112.877554,-3.0857863561545345e-19,-6.6699291835407955e-18,-0.044279035381364025,-9.898067341257384e-19,-0.0012601197350004846,0.0
enc,1775706384.2340436,1775118112.8012667,0.0,0.0,0.0,0.0,0.0,0.0
mag_raw,1775706384.2341564,1775118112.7802668,0.0,0.0,0.0,0.0,0.0,0.0
enc,1775706384.235206,1775118112.8292668,0.0,0.0,0.0,0.0,0.0,0.0
imu_raw,1775706384.23533,1775118112.8092668,0.0,0.0,0.0,0.0,0.010120320989987566,-0.1628106814783166
mag_raw,1775706384.235403,1775118112.8192668,0.0,0.0,0.0,0.0,0.0,0.0
enc,1775706384.2356112,1775118112.8572667,0.0,0.0,0.0,0.0,0.0,0.0
imu_raw,1775706384.2356896,1775118112.8732667,0.0,0.0,0.0010226833311936653,0.0,0.015979454194717208,-0.4405465498825037
enc,1775706384.2374024,1775118112.9102669,0.0,0.0,0.0,0.0,0.0,0.0
odom,1775706384.305766,1775118112.7802668,-2.9480758965371297e-18,-3.0449654172008523e-18,-0.0393185870237196,-5.901067311660595e-19,-0.0007873189336442374,0.0
odom,1775706384.3066378,1775118112.8012667,-2.140141474627094e-18,-2.116415379162242e-19,-0.035464122332288024,-2.0756546023870734e-18,0.0007172461317569859,0.0
ekf_slam,1775706384.3067694,1775118112.7555776,0.0,0.0,0.0,0.0,0.0,0.0
odom,1775706384.3070192,1775118112.8192668,1.6934224849459208e-18,-2.9844759165129696e-19,-0.032231057030942534,5.458845740717458e-19,0.0017225538655470565,0.0
odom,1775706384.3084555,1775118112.8572667,-1.1808756930344465e-18,2.4637607833123103e-19,-0.029439065813833043,3.161796459021307e-19,0.0028007920181220844,0.0
odom,1775706384.3284662,1775118112.8732667,1.4180978591506318e-18,-6.690757561490263e-19,-0.02709369046916344,1.9073292684234045e-18,0.0033867126826381748,0.0
odom,1775706384.348848,1775118112.9102669,3.364171368210731e-18,1.5252724345051306e-18,-0.024997677435313552,1.0659877854126886e-18,0.0037431756398130333,0.0
odom,1775706384.3684828,1775118112.9297762,2.1538284567042347e-18,1.987184072436647e-18,-0.02320430342309887,-4.609028974423087e-18,0.0038322139180418996,0.0
odom,1775706384.388741,1775118112.9495165,-5.445151736052355e-19,9.075714540379243e-19,-0.021624462907588345,-4.367788338866444e-18,0.0038372118202234106,0.0
odom,1775706384.4106534,1775118112.9692626,-2.5972582021957795e-18,2.641318257522627e-18,-0.02022097797737699,-2.4848400078413115e-18,0.0038196380960173635,0.0
odom,1775706384.4302871,1775118112.9891555,-1.7542539685659957e-19,4.1017117626281635e-18,-0.01896381407440196,3.1458811197502993e-19,0.0037992706132639205,0.0
odom,1775706384.4506168,1775118113.008676,-8.353167289502792e-19,3.94308853084143e-18,-0.017831712611322104,1.917388017064206e-18,0.0037787356419709765,0.0
odom,1775706384.5199907,1775118113.028245,1.7008587625684971e-18,3.541654080558402e-18,-0.01680443288354505,1.086580946321891e-18,0.003760931793572002,0.0
odom,1775706384.5204732,1775118113.0479317,7.494506882512963e-19,3.2524403092975053e-18,-0.01586660598291533,6.161663599246482e-19,0.0037461388481651293,0.0
odom,1775706384.520791,1775118113.0674396,2.1025313502235858e-18,3.854303756768684e-18,-0.015007030908044783,-1.393686699792537e-18,0.003732568414825614,0.0
odom,1775706384.5326185,1775118113.0870402,4.134643470805478e-19,4.463837129174962e-18,-0.014214500546635644,-7.994828481959921e-19,0.00372082490659952,0.0
odom,1775706384.548649,1775118113.1065779,-2.438918975433808e-18,6.078595701111474e-18,-0.013481126830449778,3.0232546974351454e-18,0.00371010250403669,0.0
odom,1775706384.5680215,1775118113.1261828,-4.349024878756283e-18,8.539589921549218e-18,-0.012799304270094236,1.747471803137325e-18,0.003700595854194711,0.0
odom,1775706384.58964,1775118113.1459231,-4.068687772132316e-18,1.1591520203097113e-17,-0.012162750544378209,2.752422254179963e-18,0.0036923506125761396,0.0
odom,1775706384.610033,1775118113.1655943,-4.953808697165999e-18,1.3068226776787146e-17,-0.011567108016360628,1.5962722235271504e-18,0.0036844739145795585,0.0
odom,1775706384.6284895,1775118113.1852105,-5.0282172055806796e-18,1.5007971649049256e-17,-0.011007953967968387,6.140607378271819e-18,0.003676885453416135,0.0
odom,1775706384.6479886,1775118113.2047462,-6.670271418120188e-18,1.5193101798907626e-17,-0.010481621702655541,7.010385896779358e-18,0.0036695517728489347,0.0
odom,1775706384.7235484,1775118113.2245696,-6.5294563197374225e-18,1.51666289400676e-17,-0.009983460709119374,4.037318363519473e-18,0.003663568137871692,0.0
enc,1775706384.7239888,1775118112.9662669,0.0,0.0,0.0,0.0,0.0,0.0
odom,1775706384.7241423,1775118112.9492667,-6.103350399431892e-18,1.4004410971947424e-17,-0.00945828376661595,2.1114920934973175e-18,0.0027018886773541623,0.0
imu_raw,1775706384.7242568,1775118112.9782667,0.0,0.0,0.004462261471413541,0.0,0.03275788109917028,-0.04309694509720145
mag_raw,1775706384.7243457,1775118112.9492667,0.0,0.0,0.07603649084728337,0.0,0.0,0.0
ekf_slam,1775706384.7244606,1775118112.8907027,6.147913361937481e-17,-1.3786329425334674e-16,-0.031636970167419065,0.0,0.0,0.0
enc,1775706384.7247214,1775118112.9942667,0.0,0.0,0.0,0.0,0.0,0.0
odom,1775706384.7249026,1775118112.9662669,-4.2932653477990305e-18,1.4042041569985845e-17,-0.008380036367390712,-5.848816731622238e-19,0.004208097480049708,0.0
imu_raw,1775706384.7249913,1775118113.0572667,0.0,0.0,0.0038941919022218957,0.0,-0.007190754387622744,0.07661679128391369
mag_raw,1775706384.7250655,1775118112.9882667,0.0,0.0,0.05168018175166881,0.0,0.0,0.0
ekf_slam,1775706384.7251475,1775118113.038097,-1.1774315342042639e-12,2.5723653244756693e-13,-0.0032266495003407947,0.0,0.0,0.0
enc,1775706384.7253542,1775118113.0472667,0.0,0.0,0.0,0.0,0.0,0.0
imu_raw,1775706384.7254431,1775118113.1362667,0.0,0.0,0.006881817043896477,0.0,0.03781804159416406,0.11971373638111514
